age,frequency
25-34,Несколько раз в неделю
18-24,Раз в неделю
35-44,Ежедневно
45-54,Несколько раз в месяц
55-64,Раз в месяц
18-24,Несколько раз в неделю
25-34,Ежедневно
35-44,Раз в неделю
45-54,Несколько раз в неделю
18-24,Несколько раз в неделю
25-34,Ежедневно
35-44,Раз в неделю
45-54,Несколько раз в неделю
18-24,Несколько раз в неделю
25-34,Ежедневно
35-44,Раз в неделю
45-54,Несколько раз в неделю
18-24,Несколько раз в неделю
25-34,Ежедневно
35-44,Раз в неделю
45-54,Несколько раз в неделю
18-24,Несколько раз в неделю
25-34,Ежедневно
35-44,Раз в неделю
45-54,Несколько раз в неделю
18-24,Несколько раз в неделю
25-34,Ежедневно
35-44,Раз в неделю
45-54,Несколько раз в неделю
18-24,Несколько раз в неделю
25-34,Ежедневно
35-44,Раз в неделю
45-54,Несколько раз в неделю
18-24,Несколько раз в неделю
25-34,Ежедневно
35-44,Раз в неделю
45-54,Несколько раз в неделю
18-24,Несколько раз в неделю
25-34,Ежедневно
35-44,Раз в неделю
45-54,Несколько раз в неделю
18-24,Несколько раз в неделю
25-34,Ежедневно
35-44,Раз в неделю
45-54,Несколько раз в неделю
18-24,Несколько раз в неделю
25-34,Ежедневно
35-44,Раз в неделю
45-54,Несколько раз в неделю
18-24,Несколько раз в неделю
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц
45-54,Несколько раз в неделю
55-64,Несколько раз в месяц
18-24,Раз в неделю
35-44,Ежедневно
25-34,Несколько раз в месяц